,0
636,0.09202218
637,0.115814105
638,0.2055172
639,0.13400622
640,0.3469391
641,0.5472249
642,0.70810324
643,0.8016866
644,0.8084767
645,0.7382007
646,0.5978874
647,0.46627864
648,0.26564753
649,0.08114669
650,0.0
651,0.14254588
652,0.4052515
653,0.61199623
654,0.78300244
655,0.895479
656,0.92700785
657,0.87167937
658,0.73364544
659,0.52763283
660,0.3141346
661,0.091636546
662,0.0
663,0.15799594
664,0.4076989
665,0.62296504
666,0.7822364
667,0.88046587
668,0.90123785
669,0.8391405
670,0.69520545
671,0.5094514
672,0.27258235
673,0.061823152
674,0.016026177
675,0.18207711
676,0.40994346
677,0.62298423
678,0.7848944
679,0.88678473
680,0.9094055
681,0.8489452
682,0.7046573
683,0.51813
684,0.28447297
685,0.07088378
686,0.0023567453
687,0.17562993
688,0.41647172
689,0.6272299
690,0.7911504
691,0.89329445
692,0.91626626
693,0.8569879
694,0.71187735
695,0.52246135
696,0.28700298
697,0.07196326
698,0.0052406266
699,0.17602971
700,0.42252886
701,0.63137263
702,0.79636174
703,0.89898044
704,0.9224193
705,0.86377364
706,0.7182422
707,0.5272902
708,0.29222992
709,0.074011184
710,0.0057216585
711,0.1756494
712,0.43500215
713,0.6378627
714,0.8055149
715,0.90889174
716,0.9336016
717,0.8757251
718,0.7295032
719,0.5355762
720,0.29921624
721,0.078025825
722,0.006187871
723,0.1760948
724,0.43420458
725,0.6395958
726,0.8066555
727,0.90987474
728,0.9330965
729,0.8742898
730,0.72742665
731,0.41402102
732,0.28302744
733,0.008549154
734,0.08426548
735,0.17903769
736,0.44013068
737,0.63968307
738,0.8061641
739,0.90587467
740,0.9262044
741,0.8648694
742,0.7178587
743,0.52561504
744,0.2986573
745,0.08033723
746,0.0012954548
747,0.1741667
748,0.44411877
749,0.64108443
750,0.8105568
751,0.91523415
752,0.93997484
753,0.88291425
754,0.7367579
755,0.5392844
756,0.30182922
757,0.08055624
758,0.00805632
759,0.17958617
760,0.38282692
761,0.64206433
762,0.8014433
763,0.7942482
764,0.72686744
765,0.8584819
766,0.7436796
767,0.55211926
768,0.31201845
769,0.08111479
770,0.0
771,0.17547452
772,0.44518304
773,0.515907
774,0.7092699
775,0.9076926
776,0.93118995
777,0.8573751
778,0.6753947
779,0.5043663
780,0.15705633
781,0.009157367
782,0.08079042
783,0.19981608
784,0.4367169
785,0.63840455
786,0.80293095
787,0.89966005
788,0.9184763
789,0.8554281
790,0.7068619
791,0.52272344
792,0.304145
793,0.05705896
794,0.0
795,0.1786561
796,0.45140496
797,0.6537025
798,0.82050914
799,0.9220803
800,0.9446996
801,0.88454556
802,0.73540646
803,0.5401992
804,0.305477
805,0.083452545
806,0.0037826821
807,0.18918966
808,0.45818067
809,0.6599378
810,0.8253251
811,0.92606145
812,0.94842494
813,0.88879997
814,0.73902327
815,0.5435631
816,0.3041804
817,0.08198896
818,0.014126986
819,0.19626072
820,0.46161765
821,0.6679933
822,0.8336499
823,0.9347519
824,0.9570767
825,0.896725
826,0.653029
827,0.3417641
828,0.09711143
829,0.068981156
830,0.16397354
831,0.19519955
832,0.45548183
833,0.65875053
834,0.82181793
835,0.9244265
836,0.930406
837,0.87175083
838,0.72398204
839,0.54272175
840,0.3111941
841,0.088179044
842,0.0045450255
843,0.19347715
844,0.4430967
845,0.6757657
846,0.842654
847,0.94725037
848,0.97238666
849,0.9142015
850,0.7626716
851,0.5594736
852,0.31902224
853,0.09125123
854,0.011177197
855,0.19604841
856,0.4780121
857,0.6792312
858,0.84662664
859,0.9474194
860,0.9721497
861,0.91368604
862,0.7620317
863,0.56325155
864,0.3189777
865,0.090497725
866,0.019943997
867,0.20177609
868,0.47756743
869,0.68356663
870,0.8517538
871,0.9569702
872,0.98199123
873,0.9242441
874,0.7713409
875,0.57045853
876,0.32506984
877,0.0943646
878,0.018740855
879,0.20160247
880,0.48578906
881,0.68637383
882,0.85551167
883,0.9605051
884,0.986767
885,0.9272825
886,0.7749869
887,0.57370454
888,0.32650214
889,0.09597226
890,0.021085277
891,0.20109814
892,0.48551047
893,0.68915373
894,0.8565503
895,0.95801204
896,0.98354477
897,0.9248317
898,0.77115357
899,0.5688118
900,0.32110682
901,0.09235672
902,0.023536153
903,0.20559093
904,0.48810464
905,0.69239527
906,0.8601446
907,0.9613437
908,0.98633003
909,0.9274473
910,0.77383095
911,0.5723945
912,0.3251142
913,0.09498113
914,0.020724118
915,0.20974752
916,0.47413296
917,0.69058716
918,0.8546832
919,0.9546378
920,0.9788195
921,0.9202543
922,0.7655935
923,0.5633189
924,0.31654042
925,0.08956706
926,0.024695724
927,0.2096546
928,0.47762656
929,0.68466145
930,0.84677005
931,0.9437677
932,0.96714026
933,0.9097871
934,0.75681263
935,0.5557277
936,0.30961066
937,0.08563893
938,0.030525707
939,0.19815993
940,0.29209864
941,0.24643824
942,0.3297833
943,0.3838437
944,0.38423738
945,0.3897142
946,0.71618354
947,0.61687326
948,0.41275683
949,0.1636728
950,0.0064527914
951,0.06420102
952,0.32361087
953,0.29578668
954,0.35086006
955,0.41849726
956,0.44229567
957,0.489146
958,0.4189171
959,0.5380459
960,0.3814605
961,0.15305597
962,0.005276583
963,0.05905383
964,0.45615017
